Neighborhood,PID,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,Screen Porch,SalePrice
Blmngtn,528228414.3181818,3396.818181818182,7.181818181818182,2005.090909090909,2005.5454545454545,41.86363636363637,317.40909090909093,1001.8181818181819,1319.2272727272727,1433.4545454545455,0.0,1433.4545454545455,0.2727272727272727,1.9090909090909092,0.09090909090909091,1.8636363636363635,1.0,6.363636363636363,0.9545454545454546,2005.1363636363637,2.3181818181818183,492.6363636363636,139.0,16.818181818181817,0.0,6.545454545454546,200417.68181818182
Blueste,909452445.0,2409.6666666666665,6.666666666666667,1983.0,1983.0,0.0,253.16666666666666,399.3333333333333,754.5,765.3333333333334,448.6666666666667,1214.0,0.3333333333333333,1.3333333333333333,0.5,2.0,1.0,5.0,1.0,1983.0,2.0,494.5,149.66666666666666,19.5,0.0,0.0,144566.66666666666
BrDale,527450990.0,1798.1052631578948,5.842105263157895,1971.7894736842106,1973.6315789473683,388.57894736842104,242.57894736842104,274.63157894736844,532.6842105263158,532.6842105263158,541.8421052631579,1074.5263157894738,0.21052631578947367,1.105263157894737,1.0,2.4210526315789473,1.0,5.473684210526316,0.0,1974.2631578947369,1.0526315789473684,271.57894736842104,79.6842105263158,1.894736842105263,0.0,0.0,103371.05263157895
BrkSide,849870875.0657895,7017.394736842105,5.2105263157894735,1933.1447368421052,1967.907894736842,6.052631578947368,216.28,551.8881578947369,792.1381578947369,907.5921052631579,333.38157894736844,1247.7631578947369,0.18421052631578946,1.1578947368421053,0.17105263157894737,2.6842105263157894,1.0263157894736843,5.815789473684211,0.4473684210526316,1955.1842105263158,1.25,329.07894736842104,58.89473684210526,28.17105263157895,32.25,16.93421052631579,127022.69736842105
ClearCr,905331516.4444444,28538.14814814815,6.037037037037037,1968.5925925925926,1983.2592592592594,87.62962962962963,564.8148148148148,409.74074074074076,1209.0,1356.7037037037037,416.55555555555554,1796.1851851851852,0.6666666666666666,1.6296296296296295,0.3333333333333333,2.7777777777777777,1.0,6.851851851851852,1.4074074074074074,1972.148148148148,1.7407407407407407,488.2962962962963,206.2962962962963,55.77777777777778,32.370370370370374,26.0,217490.07407407407
CollgCr,907081990.8333334,10227.283333333333,6.683333333333334,1998.4222222222222,1999.6166666666666,89.62777777777778,487.8666666666667,638.4777777777778,1153.7611111111112,1172.7055555555555,336.3222222222222,1509.0277777777778,0.4888888888888889,1.7666666666666666,0.4722222222222222,2.838888888888889,1.0055555555555555,6.338888888888889,0.40555555555555556,1998.7833333333333,2.066666666666667,567.0055555555556,123.63333333333334,54.333333333333336,3.4611111111111112,7.45,202497.21666666667
Crawfor,909534264.5915493,11667.732394366198,6.253521126760563,1947.7042253521126,1980.7042253521126,65.08450704225352,475.07042253521126,519.3661971830986,1049.7042253521126,1264.338028169014,434.71830985915494,1704.4647887323943,0.39436619718309857,1.5352112676056338,0.352112676056338,2.915492957746479,1.0422535211267605,6.802816901408451,1.1971830985915493,1958.9577464788733,1.6619718309859155,423.38028169014086,68.14084507042253,28.098591549295776,54.15492957746479,32.15492957746479,205901.21126760563
Edwards,907132276.9580419,10463.67132867133,5.104895104895105,1956.3636363636363,1971.7412587412587,50.38461538461539,414.4755244755245,451.3776223776224,895.5944055944055,1128.1818181818182,211.52447552447552,1345.3846153846155,0.45454545454545453,1.3566433566433567,0.16783216783216784,2.909090909090909,1.055944055944056,6.1328671328671325,0.4125874125874126,1968.7272727272727,1.1958041958041958,331.5874125874126,71.16083916083916,29.083916083916083,26.426573426573427,12.846153846153847,130493.46853146853
Gilbert,527758176.25,11143.068965517241,6.474137931034483,1997.9224137931035,1998.5862068965516,38.51724137931034,248.76724137931035,637.1034482758621,886.8448275862069,950.3793103448276,659.3103448275862,1610.146551724138,0.25,1.9741379310344827,0.8275862068965517,3.103448275862069,1.0,6.974137931034483,0.8189655172413793,1998.2155172413793,2.060344827586207,452.9051724137931,98.9396551724138,41.31896551724138,3.6724137931034484,5.474137931034483,189228.3879310345
Greens,533253153.3333333,3876.6666666666665,8.0,1978.6666666666667,1978.6666666666667,0.0,837.0,213.66666666666666,1226.0,1226.0,0.0,1226.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1978.6666666666667,2.0,484.0,163.0,72.0,0.0,0.0,188666.66666666666
GrnHill,916252745.0,9001.0,7.0,1992.0,1992.0,119.5,551.0,164.0,751.0,1398.5,0.0,1398.5,0.5,1.5,0.5,1.5,1.0,5.0,0.5,1992.0,1.0,299.0,0.0,0.0,0.0,0.0,280000.0
IDOTRR,907772170.5797101,8359.695652173914,4.579710144927536,1928.0434782608695,1962.0,19.17391304347826,162.28985507246378,520.7391304347826,690.4782608695652,865.7101449275362,322.9855072463768,1218.768115942029,0.13043478260869565,1.2608695652173914,0.10144927536231885,2.6666666666666665,1.0579710144927537,5.898550724637682,0.15942028985507245,1957.8840579710145,0.9565217391304348,278.5217391304348,28.579710144927535,38.405797101449274,69.01449275362319,8.376811594202898,101103.1884057971
Landmrk,907230240.0,3612.0,6.0,1993.0,1994.0,0.0,338.0,292.0,630.0,630.0,690.0,1320.0,0.0,2.0,1.0,3.0,1.0,5.0,0.0,1993.0,2.0,484.0,0.0,48.0,0.0,0.0,137000.0
MeadowV,923226527.0833334,2264.2083333333335,4.458333333333333,1972.5,1975.4166666666667,11.208333333333334,394.5416666666667,183.70833333333334,627.2916666666666,685.2916666666666,431.5,1116.7916666666667,0.4166666666666667,1.1666666666666667,0.5416666666666666,2.7083333333333335,1.0,5.125,0.2916666666666667,1975.3333333333333,0.875,252.95833333333334,122.83333333333333,36.916666666666664,0.0,0.0,100231.25
Mitchel,920418115.804878,11647.329268292682,5.597560975609756,1982.0975609756097,1985.6341463414635,54.78048780487805,610.0731707317074,458.9512195121951,1098.6341463414635,1215.0853658536585,135.79268292682926,1350.878048780488,0.6219512195121951,1.548780487804878,0.23170731707317074,2.8048780487804876,1.146341463414634,6.195121951219512,0.4146341463414634,1983.1341463414635,1.975609756097561,533.8170731707318,122.53658536585365,42.926829268292686,21.134146341463413,11.512195121951219,167656.70731707316
NAmes,533896608.4677419,10041.935483870968,5.332258064516129,1960.1032258064515,1969.9387096774194,93.50967741935484,485.88709677419354,473.0483870967742,1039.7032258064517,1170.6483870967743,110.27741935483871,1282.5774193548386,0.45806451612903226,1.232258064516129,0.23225806451612904,2.9064516129032256,1.0741935483870968,6.02258064516129,0.5193548387096775,1964.4806451612903,1.5161290322580645,417.7935483870968,58.983870967741936,33.303225806451614,22.416129032258066,27.85483870967742,145905.81612903226
NPkVill,527453564.7058824,2678.6470588235293,6.294117647058823,1976.235294117647,1976.235294117647,0.0,367.6470588235294,444.5882352941176,933.7058823529412,926.1764705882352,326.2352941176471,1252.4117647058824,0.11764705882352941,1.9411764705882353,0.5294117647058824,2.588235294117647,1.0,5.411764705882353,0.7058823529411765,1976.2941176470588,1.8235294117647058,419.1764705882353,56.411764705882355,29.352941176470587,0.0,22.941176470588236,140476.4705882353
NWAmes,530162739.54022986,11752.988505747126,6.390804597701149,1976.2988505747126,1981.6436781609195,182.08045977011494,548.551724137931,600.6896551724138,1222.0229885057472,1371.6896551724137,369.3448275862069,1741.0344827586207,0.39080459770114945,1.896551724137931,0.4827586206896552,3.2413793103448274,1.0229885057471264,7.195402298850575,0.9195402298850575,1976.5402298850574,2.0229885057471266,541.7931034482758,120.94252873563218,61.333333333333336,16.74712643678161,37.28735632183908,194619.02298850575
NoRidge,529148039.7916667,12406.125,7.875,1995.4791666666667,1996.5625,361.4791666666667,723.6875,609.375,1406.5625,1466.9166666666667,989.9166666666666,2456.8333333333335,0.7083333333333334,2.0416666666666665,0.9166666666666666,3.5833333333333335,1.0,8.5,1.125,1995.5,2.6875,720.6875,208.85416666666666,85.35416666666667,32.354166666666664,23.0,316294.125
NridgHt,528144333.8114754,11345.11475409836,8.278688524590164,2005.3934426229507,2005.8360655737704,333.11475409836066,742.9918032786885,878.1967213114754,1633.5901639344263,1619.155737704918,325.6393442622951,1944.795081967213,0.639344262295082,2.0163934426229506,0.4426229508196721,2.7131147540983607,1.0,7.60655737704918,0.9918032786885246,2005.483606557377,2.7131147540983607,752.688524590164,155.01639344262296,82.05737704918033,0.0,13.778688524590164,322831.3524590164
OldTown,839378375.2453988,8439.61963190184,5.2392638036809815,1922.9509202453987,1973.0429447852762,8.576687116564417,141.61963190184048,629.3374233128834,798.2024539877301,943.8098159509202,468.79754601226995,1436.7668711656443,0.15950920245398773,1.343558282208589,0.17177914110429449,2.803680981595092,1.098159509202454,6.398773006134969,0.2883435582822086,1953.3926380368098,1.3680981595092025,370.04294478527606,47.17791411042945,47.15950920245399,72.29447852760737,13.754601226993865,125276.30061349693
SWISU,908475202.1875,7289.28125,5.59375,1931.3125,1966.9375,19.65625,276.40625,555.9375,850.5625,972.75,516.0625,1548.15625,0.34375,1.5,0.21875,3.34375,1.0625,6.5625,0.46875,1951.0,1.0,267.875,84.03125,39.9375,51.3125,0.0,134758.875
Sawyer,774153425.6306306,10405.288288288288,5.072072072072072,1962.936936936937,1977.1081081081081,48.666666666666664,479.34234234234236,342.5045045045045,933.4774774774775,1076.873873873874,83.54954954954955,1162.7567567567567,0.5225225225225225,1.1531531531531531,0.2072072072072072,2.8018018018018016,1.054054054054054,5.792792792792793,0.4864864864864865,1968.7207207207207,1.5045045045045045,411.6936936936937,90.22522522522523,21.324324324324323,24.64864864864865,12.477477477477477,137181.9099099099
SawyerW,686511447.3333334,10159.494252873563,6.390804597701149,1991.3103448275863,1994.6781609195402,70.73563218390805,421.8965517241379,512.1954022988506,1011.448275862069,1162.9310344827586,464.7471264367816,1627.6781609195402,0.4827586206896552,1.793103448275862,0.6206896551724138,3.0344827586206895,1.103448275862069,6.67816091954023,0.4942528735632184,1990.6436781609195,1.9540229885057472,503.2988505747126,112.62068965517241,55.160919540229884,0.8735632183908046,19.95402298850575,187760.16091954024
Somerst,530386829.7307692,7510.723076923077,7.430769230769231,2004.753846153846,2005.0692307692307,132.7846153846154,371.6307692307692,799.1307692307693,1177.5615384615385,1183.4769230769232,397.45384615384614,1582.7769230769231,0.3923076923076923,1.9923076923076923,0.5461538461538461,2.5615384615384613,1.0,6.269230769230769,0.5153846153846153,2004.8307692307692,2.2384615384615385,615.5153846153846,69.4076923076923,97.4,1.8153846153846154,4.7384615384615385,227183.9
StoneBr,527193879.8684211,11892.947368421053,8.447368421052632,1998.842105263158,1999.1315789473683,223.71052631578948,719.1578947368421,780.0,1534.2894736842106,1556.6842105263158,425.0263157894737,1981.7105263157894,0.6842105263157895,2.026315789473684,0.4473684210526316,2.5526315789473686,1.0,7.2368421052631575,0.7894736842105263,1998.8947368421052,2.4210526315789473,629.9473684210526,144.42105263157896,58.78947368421053,20.31578947368421,39.28947368421053,329675.7368421053
Timber,916988318.3333334,13066.041666666666,7.208333333333333,1996.1666666666667,1997.2083333333333,169.8125,719.2083333333334,592.5416666666666,1357.9166666666667,1454.3125,206.0,1660.3125,0.625,1.9375,0.2708333333333333,2.8333333333333335,1.0,6.895833333333333,0.7708333333333334,2000.875,2.3125,589.125,119.60416666666667,67.16666666666667,8.666666666666666,11.854166666666666,241051.35416666666
Veenker,533092328.2352941,16171.35294117647,7.352941176470588,1983.4117647058824,1988.4117647058824,122.70588235294117,931.3529411764706,258.6470588235294,1458.4705882352941,1572.5882352941176,225.47058823529412,1798.0588235294117,0.8235294117647058,1.6470588235294117,0.5882352941176471,2.176470588235294,1.0,6.176470588235294,1.411764705882353,1983.4117647058824,2.176470588235294,580.6470588235294,211.05882352941177,47.294117647058826,10.647058823529411,59.94117647058823,253570.58823529413
